timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597308303511,94,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,2,2,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,92,0,68
1597308303496,94,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,2,2,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,92,0,68
1597308303608,15,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,15,0,0
1597308303610,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303623,15,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,15,0,0
1597308303625,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303612,27,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,27,0,12
1597308303638,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303640,14,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303640,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303653,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303654,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303654,14,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303667,15,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,15,0,0
1597308303669,15,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303669,15,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,15,0,0
1597308303683,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303684,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303684,14,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303698,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303699,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,3,3,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
